"","PRJNA701395:dmso:0ug_mL:PA14","PRJNA701395:lomefloxacin:0.3ug_mL:PA14","PRJNA701395:novobiocin:213ug_mL:PA14"
"PA14_06290",-0.4563,3.1006,8.6158
"PA14_06300",-0.1148,-1.2294,-2.3213
"PA14_06310",0.2887,-1.8412,-8.6958
"PA14_06320",-0.1026,10.066,15.7921
"PA14_06330",-0.0922,1.6171,0.726
"PA14_06340",-0.3673,-0.6881,1.3891
"PA14_06350",-0.4667,3.6087,-0.7467
"PA14_06360",1.5242,6.4543,-2.0682
"PA14_06390",7.044,73.4216,-7.1811
"PA14_06400",0.4252,0.6309,4.5526
"PA14_06420",0.8734,-1.8299,-4.7881
"PA14_06430",-0.468,-0.7119,-1.035
"PA14_06450",5.9919,4.3458,-17.0455
"PA14_06460",1.2753,-3.6015,-3.1681
"PA14_06480",-0.2306,0.8992,1.0239
"PA14_06500",-1.7099,-18.4174,-15.5731
"PA14_06510",0.6958,-10.2242,-6.6559
"PA14_06530",1.1101,-8.0102,-7.6054
"PA14_06540",-0.3847,-9.8877,-2.327
"PA14_06570",-0.3987,-11.6612,-0.5862
"PA14_06580",-0.0997,0.4032,-0.4512
"PA14_06600",-0.1085,0.0992,0.9959
"PA14_06620",0.3933,1.2554,-0.9193
"PA14_06640",-0.1509,2.6801,2.1178
"PA14_06650",1.7007,0.1938,-7.9655
"PA14_06660",-12.1243,35.3734,179.1269
"PA14_06670",11.8544,-194.2625,239.6429
"PA14_06680",6.844,18.1834,-2.7746
"PA14_06690",-0.1646,0.6369,1.2891
"PA14_06700",15.9439,37.5672,33.8519
"PA14_06710",-0.1964,1.2696,4.3375
"PA14_06720",0.0719,-0.6276,-0.1361
"PA14_06730",-0.3239,0.8385,-0.0911
"PA14_06740",0.3901,-6.0423,8.3306
"PA14_06750",-2.5347,3.0302,3.861
"PA14_06770",-0.7285,4.9985,0.9084
"PA14_06790",-0.3465,1.3407,1.8858
"PA14_06800",-0.9712,2.0397,0.3667
"PA14_06810",-1.9499,9.7168,5.041
"PA14_06830",-0.1884,2.1468,0.3771
"PA14_06840",-19.9068,58.7364,39.1795
"PA14_06860",-0.1206,-0.1142,0.387
"PA14_06870",-7.2413,1.8045,5.8393
"PA14_06880",2.289,23.2293,44.5915
"PA14_06890",0.0786,6.5634,5.25
"PA14_06900",-0.6697,1.8147,-2.7365
"PA14_06920",0.0508,1.6604,1.2899
"PA14_06930",-0.7097,13.7187,9.3212
"PA14_06940",0.1964,2.4502,1.4252
"PA14_06950",-0.855,6.5618,-3.8258
"PA14_06960",0.3226,-2.4225,-14.6572
"PA14_06970",0.1271,0.9873,-0.9938
"PA14_06980",-0.5071,18.2223,8.4866
"PA14_06990",0.8116,4.5118,1.5625
"PA14_07000",-0.3438,0.0456,0.5257
"PA14_07010",-0.4139,0.6531,1.3071
"PA14_07020",-0.0464,-1.0177,-2.0161
"PA14_07030",0.2956,-0.1075,-0.0216
"PA14_07040",-10.4633,157.9028,216.4828
"PA14_07050",0.9539,15.5976,0.8458
"PA14_07060",0.5258,1.3207,0.3916
"PA14_07070",0.06,1.5631,1.437
"PA14_07090",0.8393,-2.0542,-29.7027
"PA14_07110",-0.1548,0.5337,-11.7416
"PA14_07130",-0.141,1.408,7.8115
"PA14_07140",-0.0842,0.0703,2.2144
"PA14_07150",0.2929,-4.6488,-102.7384
"PA14_07170",-7.4326,202.5635,292.2629
"PA14_07190",-1.4428,37.4259,31.4576
"PA14_07200",0.1243,3.2941,-4.1152
